japanese,pronounce,english
図書館,としょかん,library
水曜日,すいようび,Wednesday
青,あお,"① blue ② green ③ green light ④ black (horse coat color) ⑤ immature, unripe, young"
青い,あおい,"① blue, green ② pale ③ unripe, inexperienced"
赤い,あかい,① red ② Red (i.e. communist)
切る,きる,"① to cut (usu. to cut through) ② to sever (connections, ties) ③ to turn off (i.e. the light) ④ to terminate (i.e. a conversation), to hang up (the phone), to disconnect ⑤ to punch (a ticket), to tear off (a stub) ⑥ to open (something sealed) ⑦ to start ⑧ to set (a limit) ⑨ to reduce, to decrease, to discount ⑩ to shake off (water, etc.), to let drip-dry (or drain) ⑪ to cross ⑫ to do (something noticeable) ⑬ to turn (a vehicle) ⑭ to cut (the ball) ⑮ to shuffle (cards) ⑯ to trump ⑰ (in Go) to isolate (an opponent's stone) ⑱ (after the -masu stem of a verb) to finish, to complete"
切手,きって,"stamp (postage), merchandise certificate"
洗う,あらう,① to wash ② to investigate
走る,はしる,"① to run ② to travel (movement of vehicles) ③ to hurry to ④ to retreat (from battle), to take flight ⑤ to run away from home ⑥ to elope ⑦ to tend heavily toward"
早い,はやい,"① fast, quick, hasty, brisk ② early (in the day, etc.), premature ③ (too) soon, not yet, (too) early ④ easy, simple, quick"
多い,おおい,"many, numerous"
多分,たぶん,"① perhaps, probably ② generous, many, much, great"
太い,ふとい,"① fat, thick ② deep (of a voice) ③ daring, shameless, brazen"
待つ,まつ,"① to wait ② to await, to look forward to, to anticipate ③ (usu. in negative form) to depend on, to need"
貸す,かす,"① to lend, to loan ② to rent out, to hire out"
台所,だいどころ,kitchen
大きな,おおきな,"big, large, great"
大好き,だいすき,"loveable, very likeable, like very much"
大使館,たいしかん,embassy
大切,たいせつ,"important, valuable, worthy of care"
短い,みじかい,short
知る,しる,"to know, to understand, to be acquainted with, to feel"
地図,ちず,map
茶色,ちゃいろ,"light brown, tawny"
着く,つく,"① to arrive at, to reach ② to sit on, to sit at (e.g. the table)"
着る,きる,"① to wear (in modern Japanese, from the shoulders down), to put on ② to bear (guilt, etc.)"
昼,ひる,"① noon, midday ② daytime ③ lunch"
朝,あさ,morning
鳥,とり,"① bird ② bird meat (esp. chicken meat), fowl, poultry"
低い,ひくい,"low (height, tone, rank, degree, cost, etc.), short"
度,ど,"① degree (angle, temperature, scale, etc.) ② counter for occurrences and times ③ strength (of alcohol)"
土曜日,どようび,Saturday
冬,ふゆ,winter
答える,こたえる,"to answer, to reply"
働く,はたらく,"① to work, to labor, to labour ② to function, to operate, to be effective, to work (i.e. ... works), to come into play ③ to commit (e.g. a crime), to perpetrate, to do, to act, to practise, to practice ④ to be conjugated"
動物,どうぶつ,animal
